Request,Success,VerificationTime(ms),TotalLatency(ms)
1,true,126,137
2,true,52,57
3,true,91,94
4,true,56,63
5,true,54,55
6,true,51,51
7,true,54,55
8,true,57,59
9,true,61,64
10,true,51,52
11,true,55,56
12,true,51,53
13,true,52,53
14,true,52,55
15,true,67,69
16,true,50,52
17,true,56,59
18,true,55,57
19,true,50,52
20,true,55,57
21,true,52,53
22,true,56,58
23,true,54,57
24,true,57,60
25,true,53,56
26,true,59,62
27,true,56,61
28,true,50,52
29,true,57,60
30,true,53,55
31,true,50,53
32,true,62,66
33,true,55,59
34,true,56,59
35,true,59,63
36,true,51,54
37,true,55,59
38,true,56,58
39,true,51,53
40,true,54,55
41,true,52,52
42,true,52,54
43,true,55,56
44,true,53,54
45,true,61,62
46,true,55,56
47,true,70,72
48,true,53,55
49,true,50,50
50,true,53,59
51,true,57,59
52,true,53,77
53,true,50,50
54,true,50,52
55,true,50,51
56,true,53,54
57,true,48,50
58,true,53,56
59,true,54,56
60,true,57,58
61,true,57,59
62,true,56,59
63,true,51,54
64,true,55,58
65,true,49,52
66,true,53,56
67,true,52,55
68,true,58,60
69,true,55,58
70,true,52,54
71,true,54,56
72,true,52,54
73,true,57,60
74,true,61,64
75,true,53,56
76,true,58,60
77,true,54,56
78,true,50,53
79,true,53,55
80,true,58,61
81,true,50,52
82,true,52,55
83,true,54,57
84,true,52,55
85,true,54,57
86,true,51,53
87,true,52,55
88,true,54,57
89,true,53,56
90,true,51,55
91,true,52,55
92,true,52,55
93,true,53,56
94,true,53,56
95,true,57,60
96,true,52,55
97,true,51,55
98,true,52,55
99,true,51,53
100,true,56,58
