node:events:486
      throw er; // Unhandled 'error' event
      ^

Error: listen EADDRINUSE: address already in use :::3000
    at Server.setupListenHandle [as _listen2] (node:net:1940:16)
    at listenInCluster (node:net:1997:12)
    at Server.listen (node:net:2102:7)
    at app.listen (/Users/bhargavcn/Proj✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 209ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 48ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 58ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 54ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 61ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 62ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 60ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 61ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 58ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 55ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 57ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 54ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 61ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 63ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 58ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 55ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 55ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 58ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 56ms)
✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 59ms)
